"Libellé";"idBank";"Période";"2001-T4";"2002-T1";"2002-T2";"2002-T3";"2002-T4";"2003-T1";"2003-T2";"2003-T3";"2003-T4";"2004-T1";"2004-T2";"2004-T3";"2004-T4";"2005-T1";"2005-T2";"2005-T3";"2005-T4";"2006-T1";"2006-T2";"2006-T3";"2006-T4";"2007-T1";"2007-T2";"2007-T3";"2007-T4";"2008-T1";"2008-T2";"2008-T3";"2008-T4";"2009-T1";"2009-T2";"2009-T3";"2009-T4";"2010-T1";"2010-T2";"2010-T3";"2010-T4";"2011-T1";"2011-T2";"2011-T3";"2011-T4";"2012-T1";"2012-T2";"2012-T3";"2012-T4";"2013-T1";"2013-T2";"2013-T3";"2013-T4";"2014-T1";"2014-T2";"2014-T3";"2014-T4";"2015-T1";"2015-T2";"2015-T3";"2015-T4";"2016-T1";"2016-T2";"2016-T3";"2016-T4";"2017-T1";"2017-T2";"2017-T3";"2017-T4";"2018-T1";"2018-T2";"2018-T3";"2018-T4";"2019-T1";"2019-T2"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Drôme";"001737269";"";"23874";"23926";"24149";"24227";"24241";"24205";"24108";"24375";"24398";"24557";"24576";"24363";"24381";"24317";"24433";"24383";"24454";"24477";"24296";"24687";"24586";"24472";"24521";"24743";"24788";"24963";"24658";"24565";"24672";"24712";"24700";"24600";"24703";"24944";"25101";"25265";"25098";"25221";"25426";"25353";"25334";"25167";"25207";"25178";"25025";"24985";"24789";"24888";"25153";"25262";"25224";"25204";"25291";"25254";"25413";"25337";"25355";"25505";"25574";"25668";"25587";"25744";"25808";"25854";"26137";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Eure";"001737268";"";"18844";"19004";"18897";"19063";"19207";"19426";"19566";"19743";"19827";"19860";"19803";"19708";"19829";"19812";"19965";"20004";"20035";"20105";"20139";"20119";"20030";"20167";"20142";"20297";"20380";"20510";"20968";"21035";"21136";"21050";"21062";"20896";"20905";"20956";"21020";"21137";"21037";"21078";"20999";"20869";"20949";"20782";"20510";"20656";"20671";"20591";"20542";"20651";"20566";"20617";"20568";"20520";"20544";"20510";"20602";"20474";"20438";"20484";"20442";"20356";"20301";"20213";"20226";"20284";"20268";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Eure-et-Loir";"001737334";"";"17244";"17125";"17280";"17499";"17323";"17661";"17784";"17871";"17957";"18030";"18034";"18064";"18052";"18052";"18222";"18004";"18231";"18313";"18314";"18349";"18218";"18289";"18211";"18171";"18179";"18009";"18186";"18111";"18109";"18246";"18023";"18051";"18103";"18132";"18273";"18216";"18668";"18601";"18616";"18675";"18643";"18690";"18667";"18716";"18645";"18637";"18429";"18422";"18419";"18373";"18357";"18353";"18436";"18498";"18563";"18601";"18578";"18625";"18754";"18681";"18723";"18568";"18467";"18511";"18485";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Finistère";"001737335";"";"38145";"38377";"38423";"39120";"39288";"39548";"39566";"39672";"40044";"40141";"40603";"40477";"40541";"40520";"40429";"40857";"40735";"40791";"40965";"40837";"40731";"40990";"41070";"41092";"41255";"41393";"41448";"41406";"41264";"40965";"40632";"40777";"40637";"40534";"40791";"40561";"40941";"41145";"41298";"41136";"41091";"41281";"41112";"41207";"40997";"40833";"40607";"40618";"40511";"40398";"40505";"40459";"40612";"40378";"40302";"40531";"40787";"41010";"41059";"40886";"40927";"40889";"41153";"41452";"41495";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Gard";"001737336";"";"25904";"26131";"26250";"26740";"26960";"27461";"27881";"27905";"28144";"28262";"28301";"28435";"28622";"28511";"28693";"28697";"28624";"28736";"28613";"28698";"28697";"28822";"28941";"28910";"28879";"28491";"28501";"28605";"28635";"28714";"28570";"28839";"29350";"29310";"29418";"29193";"29151";"29310";"29549";"29572";"29541";"29562";"29498";"29520";"29395";"29570";"29251";"29302";"29363";"29324";"29342";"29356";"29362";"29410";"29578";"29619";"29708";"29899";"29763";"29978";"30022";"29829";"30046";"30137";"30208";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Haute-Garonne";"001737337";"";"55320";"55570";"55680";"56240";"56435";"56630";"56969";"57018";"57313";"57666";"57684";"57575";"57977";"57992";"58142";"58270";"58041";"58112";"58331";"58690";"58584";"59422";"59657";"59993";"60145";"60118";"60085";"59614";"59640";"59461";"59181";"59355";"59559";"59715";"59971";"60095";"60054";"59981";"60172";"59964";"60024";"60119";"60036";"60312";"59682";"59843";"59568";"59798";"59750";"59671";"59801";"59725";"60162";"60540";"60732";"60881";"60924";"61494";"61951";"62741";"63430";"63456";"63959";"64059";"64217";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Gers";"001737338";"";"7604";"7627";"7681";"7708";"7842";"7889";"8057";"8104";"8033";"8125";"8089";"8092";"8117";"8142";"8120";"8162";"8170";"8173";"8157";"8194";"8096";"8207";"8279";"8233";"8254";"8198";"8198";"8127";"8055";"8036";"7992";"7976";"8130";"8008";"8010";"8116";"8158";"8203";"8218";"8216";"8191";"8238";"8277";"8295";"8271";"8353";"8280";"8400";"8513";"8542";"8495";"8406";"8424";"8461";"8459";"8492";"8477";"8452";"8487";"8493";"8517";"8441";"8556";"8441";"8529";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Gironde";"001737339";"";"70993";"71501";"71237";"71606";"71777";"72011";"72310";"71690";"71556";"71528";"71407";"71378";"71770";"71497";"71312";"71617";"71925";"72171";"72445";"72757";"72761";"73298";"73916";"74497";"74583";"74798";"74892";"74294";"74378";"74181";"73989";"73558";"73960";"73892";"73712";"74010";"74051";"74436";"74456";"74830";"75180";"75436";"75814";"76001";"75705";"75762";"75533";"75533";"75934";"76014";"76060";"75907";"76119";"76442";"76691";"77063";"77308";"77641";"78115";"78321";"78379";"78941";"79413";"79694";"80122";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Hérault";"001737340";"";"47088";"47998";"47561";"48088";"48280";"48104";"48579";"48948";"49230";"49397";"49531";"49543";"49782";"50070";"49726";"50436";"50172";"50322";"50505";"50841";"50979";"51033";"50942";"51268";"51396";"51956";"51718";"50902";"51224";"50915";"50846";"51064";"51534";"51135";"51356";"51352";"50952";"51647";"51889";"51873";"51704";"51802";"51830";"51752";"51671";"51765";"51195";"51447";"51431";"51181";"51230";"51298";"51415";"51540";"51845";"51945";"52166";"52758";"52418";"52647";"52939";"53061";"53691";"53688";"53832";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Ille-et-Vilaine";"001737341";"";"44339";"44799";"44329";"44851";"44947";"44983";"45269";"45199";"45704";"45659";"45748";"45681";"45664";"45820";"46010";"46393";"46464";"46758";"46707";"47080";"47304";"47565";"47820";"47870";"48047";"48311";"48482";"48363";"48852";"48364";"48459";"48316";"48270";"48467";"48513";"48885";"48780";"49047";"48856";"48770";"48945";"48776";"48920";"49155";"49144";"49075";"49048";"49191";"49452";"49456";"49545";"49474";"49465";"49665";"49381";"49421";"49522";"49899";"50195";"50334";"50532";"50714";"51001";"51162";"51269";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Indre";"001737342";"";"9077";"9170";"9219";"9322";"9352";"9350";"9420";"9422";"9400";"9386";"9414";"9434";"9475";"9665";"9400";"9424";"9514";"9427";"9434";"9269";"9269";"9351";"9378";"9524";"9452";"9458";"9353";"9631";"9547";"9542";"9424";"9311";"9331";"9371";"9493";"9481";"9497";"9472";"9571";"9525";"9452";"9451";"9335";"9388";"9271";"9221";"9104";"9078";"9115";"9115";"9020";"8996";"8949";"8924";"8957";"8899";"8908";"8854";"8854";"8807";"8784";"8731";"8794";"8803";"8749";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Indre-et-Loire";"001737343";"";"26301";"26477";"26723";"26534";"26655";"26332";"26379";"26316";"26403";"26666";"26272";"26423";"26400";"26425";"26263";"26292";"26239";"26103";"26135";"26117";"26146";"26429";"26630";"26777";"26562";"26472";"26441";"26218";"26781";"26607";"26622";"26689";"26847";"26926";"26965";"27080";"26997";"27074";"27206";"27337";"27393";"27512";"27532";"27473";"27435";"27269";"27112";"27149";"27157";"27111";"27238";"27002";"27168";"27260";"27259";"27377";"27614";"27723";"27731";"27663";"27583";"27314";"27646";"27713";"27568";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Isère";"001737344";"";"48407";"48715";"49023";"49624";"50119";"50491";"50499";"50887";"51463";"51532";"51632";"51592";"51737";"51853";"52210";"52535";"52547";"53018";"53575";"54011";"54354";"54627";"54847";"55132";"55006";"54967";"54670";"54495";"54201";"54291";"53629";"53178";"53118";"53259";"53527";"53669";"53730";"53909";"54133";"53906";"53962";"53967";"54078";"54423";"54226";"54043";"53812";"53973";"54222";"54106";"54194";"54120";"54313";"54578";"54462";"54952";"55295";"55606";"55777";"55819";"55609";"55505";"55488";"55478";"55993";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Jura";"001737345";"";"9774";"9799";"9836";"9820";"9761";"10074";"10094";"10127";"10125";"10051";"9931";"9892";"9866";"9879";"9927";"9966";"10082";"10011";"10065";"10198";"10091";"10067";"10025";"9988";"9984";"10090";"10138";"10116";"10045";"10018";"9938";"9884";"9894";"9951";"10016";"10199";"10224";"10273";"10313";"10313";"10419";"10364";"10434";"10299";"10402";"10355";"10326";"10384";"10434";"10488";"10450";"10593";"10503";"10562";"10635";"10594";"10624";"10650";"10675";"10765";"10842";"10851";"10907";"10948";"10929";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Landes";"001737346";"";"15054";"15172";"15310";"15459";"15625";"15681";"15842";"15963";"16026";"16131";"16142";"16184";"16319";"16409";"16436";"16407";"16632";"16561";"16725";"16818";"16598";"16794";"16850";"16912";"16936";"16975";"16800";"16975";"17019";"16758";"16691";"16707";"16862";"16904";"17026";"16727";"16799";"17063";"17330";"17349";"17164";"17233";"17115";"17024";"17244";"17343";"17232";"17438";"17277";"17266";"17755";"17744";"17711";"17599";"17613";"17557";"17583";"17689";"17580";"17700";"17757";"17808";"17856";"17599";"17755";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Loir-et-Cher";"001737347";"";"12177";"12688";"12799";"12916";"12900";"12801";"12915";"12814";"12810";"12944";"12898";"12883";"13053";"12979";"12935";"12954";"12984";"13070";"13138";"13200";"13190";"13160";"13202";"13275";"13190";"13065";"13204";"13213";"13167";"13161";"13014";"12958";"13131";"12844";"12830";"12729";"12744";"12798";"12792";"12829";"12838";"12855";"12864";"12718";"12531";"12412";"12262";"12389";"12419";"12332";"12213";"12085";"12219";"12115";"12052";"12096";"12031";"12097";"12123";"12062";"12075";"12003";"12040";"12016";"11976";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Loire";"001737348";"";"31923";"32361";"32321";"32325";"32042";"31939";"31993";"31791";"32178";"32111";"32149";"31948";"31976";"31931";"31893";"32268";"31974";"32074";"32269";"32302";"32329";"32502";"32573";"32571";"32811";"30917";"31542";"31354";"31326";"31424";"31112";"30942";"30918";"30698";"30807";"30903";"30984";"31221";"31345";"31144";"31185";"31271";"31324";"31292";"31048";"31065";"30753";"30737";"30667";"30697";"30424";"30327";"30238";"30035";"30172";"30223";"30493";"30393";"30497";"30440";"30385";"30501";"30480";"30507";"30657";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Haute-Loire";"001737349";"";"7380";"7365";"7373";"7448";"7385";"7400";"7483";"7452";"7432";"7491";"7433";"7455";"7541";"7566";"7556";"7571";"7588";"7562";"7563";"7628";"7572";"7609";"7727";"7726";"7717";"7498";"7598";"7655";"7536";"7572";"7606";"7458";"7536";"7531";"7447";"7497";"7589";"7653";"7598";"7596";"7655";"7533";"7538";"7538";"7549";"7471";"7415";"7443";"7463";"7550";"7508";"7439";"7465";"7547";"7602";"7653";"7649";"7630";"7739";"7743";"7731";"7709";"7732";"7737";"7757";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Loire-Atlantique";"001737350";"";"62338";"63109";"63036";"63823";"63612";"63625";"64032";"63521";"63843";"63809";"64355";"64584";"65150";"65413";"65549";"65725";"65591";"65787";"65417";"65670";"65674";"65962";"66291";"67280";"67534";"67889";"68476";"68259";"68090";"67870";"67356";"67249";"67385";"67351";"68100";"68330";"68556";"68992";"69072";"69517";"69492";"69513";"69584";"69474";"69415";"69160";"68923";"69120";"69346";"69574";"69618";"69551";"69650";"69907";"70208";"70410";"70643";"70907";"70619";"70865";"70911";"71490";"71886";"72288";"72553";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Loiret";"001737351";"";"32674";"32534";"32884";"32964";"32507";"32402";"32227";"32113";"32402";"32617";"32573";"32543";"32485";"32378";"32282";"31960";"31627";"31295";"31004";"31023";"30544";"30869";"30991";"31225";"31048";"31244";"31130";"31000";"30846";"30658";"30471";"30390";"30158";"30018";"30056";"30029";"30020";"30017";"29927";"29852";"29959";"29905";"29883";"29964";"29651";"29669";"29598";"29691";"29762";"29720";"29681";"29741";"29734";"29883";"29919";"29956";"30055";"30118";"30387";"30354";"30467";"30547";"30606";"30622";"30548";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Lot";"001737352";"";"6887";"6984";"6813";"6880";"6887";"6828";"6872";"6933";"6960";"7050";"7021";"7019";"7026";"7063";"7140";"7068";"7086";"7071";"7115";"7149";"7059";"7021";"7046";"7029";"7122";"6974";"6891";"6887";"6889";"6940";"6791";"6809";"6826";"6896";"6937";"6905";"6910";"6918";"6855";"6832";"6765";"6726";"6729";"6710";"6677";"6640";"6606";"6681";"6729";"6715";"6811";"6763";"6818";"6829";"6850";"6887";"6855";"6884";"6875";"6837";"6809";"6785";"6779";"6757";"6818";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Lot-et-Garonne";"001737353";"";"17342";"17369";"17371";"17368";"17625";"17668";"17884";"17842";"17944";"18087";"18008";"18083";"17988";"17989";"18033";"18030";"17898";"17899";"17973";"18000";"17963";"18014";"17898";"17954";"17907";"17776";"17799";"17683";"17731";"17481";"17433";"17215";"17168";"17156";"17001";"17113";"17138";"17262";"17301";"17310";"17268";"17216";"17205";"17187";"17125";"17003";"16943";"17022";"17149";"17238";"17224";"17172";"17158";"17153";"17240";"17199";"17115";"17208";"17218";"17246";"17300";"17440";"17559";"17448";"17501";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Lozère";"001737354";"";"2279";"2246";"2253";"2287";"2291";"2304";"2316";"2297";"2341";"2385";"2410";"2395";"2386";"2403";"2417";"2469";"2464";"2480";"2468";"2506";"2528";"2541";"2552";"2561";"2571";"2567";"2576";"2579";"2553";"2515";"2510";"2455";"2496";"2519";"2535";"2531";"2538";"2532";"2555";"2552";"2533";"2519";"2500";"2514";"2541";"2546";"2524";"2500";"2488";"2509";"2514";"2520";"2489";"2513";"2520";"2539";"2540";"2495";"2507";"2470";"2473";"2506";"2502";"2491";"2494";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
